Day,Number of Bicycle Hires,Month,Number of Bicycle Hires.1,Year,Number of Bicycle Hires.2,Month.1,Average Hire Time (mins)
2010-07-30,6897,2010-07-01,12461.0,2010,2180813,2010-07-01,17.232565604686624
2010-07-31,5564,2010-08-01,341203.0,2011,7142449,2010-08-01,16.551879672804755
2010-08-01,4303,2010-09-01,540859.0,2012,9519283,2010-09-01,15.219079279442516
2010-08-02,6642,2010-10-01,544412.0,2013,8045459,2010-10-01,15.204481165000038
2010-08-03,7966,2010-11-01,456304.0,2014,10023897,2010-11-01,13.776083488200854
2010-08-04,7893,2010-12-01,285574.0,2015,9871839,2010-12-01,16.82051237157445
2010-08-05,8724,2011-01-01,403178.0,2016,10303637,2011-01-01,16.09322929326501
2010-08-06,9797,2011-02-01,398292.0,2017,10446044,2011-02-01,17.249407469896465
2010-08-07,6631,2011-03-01,556155.0,2018,10567540,2011-03-01,19.952108674739954
2010-08-08,7864,2011-04-01,673639.0,2019,10168936,2011-04-01,26.87884015028821
2010-08-09,6191,2011-05-01,722072.0,Grand Total,88269897,2011-05-01,15.047705768953792
2010-08-10,4802,2011-06-01,638717.0,,,2011-06-01,16.39878537756158
2010-08-11,14013,2011-07-01,708454.0,against last month,against last year,2011-07-01,15.60817780688654
2010-08-12,13080,2011-08-01,642440.0,-0.09318036174543443,0.8828673839327321,2011-08-01,17.578021293817322
2010-08-13,12151,2011-09-01,684780.0,0.06590498723616213,0.26609707890596257,2011-09-01,17.336478869125852
2010-08-14,9195,2011-10-01,708802.0,0.03507987966938287,0.3019588106066729,2011-10-01,16.973469318653162
2010-08-15,10928,2011-11-01,597191.0,-0.15746428480732277,0.3087568813773274,2011-11-01,15.574921591249701
2010-08-16,15384,2011-12-01,408729.0,-0.3155807773392432,0.43125424583470484,2011-12-01,19.411069437206557
2010-08-17,15396,2012-01-01,494325.0,0.2094199335011707,0.22607136302079975,2012-01-01,16.903680776816874
2010-08-18,16062,2012-02-01,481826.0,-0.025284984574925402,0.209730549446135,2012-02-01,17.318538227492912
2010-08-19,17170,2012-03-01,818209.0,0.6981420678834268,0.47118878729850494,2012-03-01,21.240560785813894
2010-08-20,16462,2012-04-01,649473.0,-0.20622603760163968,-0.035873813719217565,2012-04-01,21.42034233909647
2010-08-21,11719,2012-05-01,926952.0,0.42723715997431766,0.2837390177156849,2012-05-01,22.05059808922145
2010-08-22,10129,2012-06-01,858805.0,-0.07351729107871821,0.3445782717541572,2012-06-01,22.07957568947549
2010-08-23,12935,2012-07-01,1014174.0,0.18091301284924982,0.4315311932743693,2012-07-01,22.903726579462692
2010-08-24,17006,2012-08-01,1163171.0,0.1469146320059477,0.8105519581595169,2012-08-01,23.203370785550877
2010-08-25,10062,2012-09-01,1015145.0,-0.12726073810299604,0.4824396156429802,2012-09-01,20.017364021888497
2010-08-26,9875,2012-10-01,856866.0,-0.15591762753104235,0.2088933157637817,2012-10-01,17.993264991258847
2010-08-27,12854,2012-11-01,726893.0,-0.1516841606505568,0.2171867961841354,2012-11-01,16.97739006979019
2010-08-28,10116,2012-12-01,513444.0,-0.2936456947583757,0.25619664863515923,2012-12-01,18.954861679170463
2010-08-29,7811,2013-01-01,565589.0,0.10155927423438584,0.1441642644009508,2013-01-01,16.748269503119754
2010-08-30,10534,2013-02-01,516588.0,-0.08663711635127275,0.07214637649275879,2013-02-01,16.031034402657436
2010-08-31,17508,2013-03-01,504611.0,-0.02318482039846067,-0.3832737112400377,2013-03-01,16.23126527166471
2010-09-01,19332,2013-04-01,658230.0,0.304430541545864,0.013483239488015669,2013-04-01,20.080584294243653
2010-09-02,20909,2013-05-01,749934.0,0.1393190829953056,-0.19096781710379826,2013-05-01,21.73425394768073
2010-09-03,20113,2013-06-01,813631.0,0.0849368077724173,-0.052600997898242324,2013-06-01,22.322468047554732
2010-09-04,14373,2013-07-01,998755.0,0.22752820381720953,-0.015203505512860713,2013-07-01,25.378477204119136
2010-09-05,12924,2013-08-01,904155.0,-0.09471792381514986,-0.22268092997504235,2013-08-01,25.45586984532519
